[0.007s][debug][gc,heap] Minimum heap 5368709120  Initial heap 5368709120  Maximum heap 12884901888
[0.007s][info ][gc,init] Initializing The Z Garbage Collector
[0.007s][info ][gc,init] Version: 25+37-LTS-jvmci-b01 (release)
[0.007s][info ][gc,init] NUMA Support: Disabled
[0.007s][info ][gc,init] CPUs: 20 total, 20 available
[0.007s][info ][gc,init] Memory: 31764M
[0.007s][info ][gc,init] Large Page Support: Disabled
[0.008s][info ][gc,init] Address Space Size: unlimited
[0.008s][debug][gc,init] Reserved Space: limit 4096G, desired 192G, requested 192G
[0.008s][info ][gc,init] Reserved Space Type: Contiguous/Unrestricted/Complete
[0.008s][info ][gc,init] Reserved Space Size: 192G
[0.008s][info ][gc,init] Heap Backing File: /memfd:java_heap
[0.008s][info ][gc,init] Heap Backing Filesystem: tmpfs (0x1021994)
[0.008s][info ][gc,init] Min Capacity: 5120M
[0.008s][info ][gc,init] Initial Capacity: 5120M
[0.008s][info ][gc,init] Max Capacity: 12288M
[0.008s][info ][gc,init] Soft Max Capacity: 12288M
[0.008s][info ][gc,init] Page Size Medium: Range [4M, 32M]
[0.008s][info ][gc,init] Pre-touch: Enabled
[0.008s][info ][gc,init] Available space on backing filesystem: N/A
[0.009s][info ][gc,init] Uncommit: Enabled
[0.009s][info ][gc,init] Uncommit Delay: 300s
[0.009s][info ][gc,init] GC Workers for Old Generation: 5 (dynamic)
[0.009s][info ][gc,init] GC Workers for Young Generation: 5 (dynamic)
[0.807s][debug][gc,task] Executing ZPreTouchTask using ZWorkerOld with 5 workers
[1.095s][info ][gc,init] GC Workers Max: 5 (dynamic)
[1.096s][info ][gc,init] Runtime Workers: 12
[1.096s][info ][gc     ] Using The Z Garbage Collector
[1.106s][info ][gc,metaspace] CDS archive(s) not mapped
[1.106s][info ][gc,metaspace] Compressed class space mapped at: 0x000000006c000000-0x00000000ac000000, reserved size: 1073741824
[1.106s][info ][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 0
[1.106s][info ][gc,metaspace] Narrow klass pointer bits 32, Max shift 3
[1.106s][info ][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0
[1.106s][info ][gc,metaspace] Encoding Range: [0x0000000000000000 - 0x0000000100000000), (4294967296 bytes)
[1.107s][info ][gc,metaspace] Klass Range:    [0x000000006c000000 - 0x00000000ac000000), (1073741824 bytes)
[1.107s][info ][gc,metaspace] Klass ID Range:  [1811939328 - 2885681145) (1073741817)
[1.107s][info ][gc,metaspace] No protection zone.
[1,141s][debug][gc,heap     ] Uncommitter (0) Timeout: 300000ms
[1,143s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x00007ab287400008) [0x00007ab287400100, 0x00007ab287400310] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: java.io.File.getPrefixLength (0x00007ab2a6be6b08) [0x00007ab2a6be6c00, 0x00007ab2a6be6cc0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getLongUnaligned (0x00007ab287411e08) [0x00007ab287411f00, 0x00007ab2874122b0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x00007ab2a6be6e08) [0x00007ab2a6be6f00, 0x00007ab2a6be6f80] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.compareAndSetLong (0x00007ab2a6be7108) [0x00007ab2a6be7200, 0x00007ab2a6be7370] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.compareAndSetReference (0x00007ab2a6be7408) [0x00007ab2a6be7500, 0x00007ab2a6be7698] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.spread (0x00007ab287412308) [0x00007ab287412400, 0x00007ab2874124f0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getReferenceAcquire (0x00007ab287412608) [0x00007ab287412700, 0x00007ab287412830] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.tabAt (0x00007ab287412908) [0x00007ab287412a00, 0x00007ab287412f48] Compiler: c1, Barriers: 1, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap$Node.<init> (0x00007ab287412f88) [0x00007ab287413080, 0x00007ab2874132d0] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.next (0x00007ab287413308) [0x00007ab287413400, 0x00007ab287413768] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.addCount (0x00007ab287413788) [0x00007ab287413880, 0x00007ab287414520] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,159s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.putVal (0x00007ab287414588) [0x00007ab287414680, 0x00007ab287416b78] Compiler: c1, Barriers: 28, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,161s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x00007ab2a6be7708) [0x00007ab2a6be7820, 0x00007ab2a6be7a18] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,161s][debug][gc,director ] Rule Major: Warmup 10%, Used: 10MB, UsedThreshold: 1228MB
[1,162s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isLatin1 (0x00007ab2a6be7a88) [0x00007ab2a6be7b80, 0x00007ab2a6be7c40] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,163s][debug][gc,nmethod  ] Register NMethod: java.lang.String.charAt (0x00007ab2a6be7d88) [0x00007ab2a6be7e80, 0x00007ab2a6be7fb0] Compiler: jvmci, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,164s][debug][gc,nmethod  ] Register NMethod: java.lang.String.hashCode (0x00007ab2a6be8088) [0x00007ab2a6be8180, 0x00007ab2a6be8320] Compiler: jvmci, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,167s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6be8388) [0x00007ab2a6be8480, 0x00007ab2a6be8570] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,171s][debug][gc,nmethod  ] Register NMethod: java.lang.Enum.ordinal (0x00007ab2a6be8688) [0x00007ab2a6be8780, 0x00007ab2a6be8840] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,171s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.hashCode (0x00007ab2a6be8988) [0x00007ab2a6be8a80, 0x00007ab2a6be8bf0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,171s][debug][gc,nmethod  ] Register NMethod: java.lang.Class.isPrimitive (0x00007ab2a6be8c88) [0x00007ab2a6be8d80, 0x00007ab2a6be8e40] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,171s][debug][gc,director ] Rule Major: Warmup 10%, Used: 10MB, UsedThreshold: 1228MB
[1,172s][debug][gc,nmethod  ] Register NMethod: java.lang.Math.min (0x00007ab287416b88) [0x00007ab287416c80, 0x00007ab287416da8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,172s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6be8f88) [0x00007ab2a6be9080, 0x00007ab2a6be9170] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,172s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6be9288) [0x00007ab2a6be9380, 0x00007ab2a6be9470] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,173s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007ab2a6be9588) [0x00007ab2a6be9680, 0x00007ab2a6be9918] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,173s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007ab2a6be9988) [0x00007ab2a6be9a80, 0x00007ab2a6be9b78] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,179s][debug][gc,nmethod  ] Register NMethod: java.lang.Enum.<init> (0x00007ab287416e88) [0x00007ab287416f80, 0x00007ab287417158] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,181s][debug][gc,nmethod  ] Register NMethod: java.lang.String.hashCode (0x00007ab287417188) [0x00007ab287417280, 0x00007ab287417828] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,182s][debug][gc,director ] Rule Major: Warmup 10%, Used: 10MB, UsedThreshold: 1228MB
[1,182s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x00007ab2a6be9c88) [0x00007ab2a6be9d80, 0x00007ab2a6bea018] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,182s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x00007ab2a6bea088) [0x00007ab2a6bea180, 0x00007ab2a6bea278] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,182s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.StrongReferenceKey.get (0x00007ab2a6bea388) [0x00007ab2a6bea480, 0x00007ab2a6bea568] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,183s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6bea688) [0x00007ab2a6bea780, 0x00007ab2a6bea878] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,183s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.clone (0x00007ab2a6bea988) [0x00007ab2a6beaa80, 0x00007ab2a6beada0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,183s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007ab2a6beae08) [0x00007ab2a6beaf00, 0x00007ab2a6beaff0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
