[0.005s][debug][gc,heap] Minimum heap 5368709120  Initial heap 5368709120  Maximum heap 12884901888
[0.005s][info ][gc,init] Initializing The Z Garbage Collector
[0.005s][info ][gc,init] Version: 25+37-LTS-jvmci-b01 (release)
[0.005s][info ][gc,init] NUMA Support: Disabled
[0.005s][info ][gc,init] CPUs: 20 total, 20 available
[0.005s][info ][gc,init] Memory: 31764M
[0.005s][info ][gc,init] Large Page Support: Disabled
[0.006s][info ][gc,init] Address Space Size: unlimited
[0.006s][debug][gc,init] Reserved Space: limit 4096G, desired 192G, requested 192G
[0.006s][info ][gc,init] Reserved Space Type: Contiguous/Unrestricted/Complete
[0.006s][info ][gc,init] Reserved Space Size: 192G
[0.006s][info ][gc,init] Heap Backing File: /memfd:java_heap
[0.006s][info ][gc,init] Heap Backing Filesystem: tmpfs (0x1021994)
[0.006s][info ][gc,init] Min Capacity: 5120M
[0.006s][info ][gc,init] Initial Capacity: 5120M
[0.006s][info ][gc,init] Max Capacity: 12288M
[0.006s][info ][gc,init] Soft Max Capacity: 12288M
[0.006s][info ][gc,init] Page Size Medium: Range [4M, 32M]
[0.006s][info ][gc,init] Pre-touch: Enabled
[0.006s][info ][gc,init] Available space on backing filesystem: N/A
[0.006s][info ][gc,init] Uncommit: Enabled
[0.006s][info ][gc,init] Uncommit Delay: 300s
[0.006s][info ][gc,init] GC Workers for Old Generation: 5 (dynamic)
[0.007s][info ][gc,init] GC Workers for Young Generation: 5 (dynamic)
[0.837s][debug][gc,task] Executing ZPreTouchTask using ZWorkerOld with 5 workers
[1.129s][info ][gc,init] GC Workers Max: 5 (dynamic)
[1.130s][info ][gc,init] Runtime Workers: 12
[1.130s][info ][gc     ] Using The Z Garbage Collector
[1.130s][info ][gc,metaspace] CDS archive(s) not mapped
[1.130s][info ][gc,metaspace] Compressed class space mapped at: 0x00000000b3000000-0x00000000f3000000, reserved size: 1073741824
[1.130s][info ][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 0
[1.130s][info ][gc,metaspace] Narrow klass pointer bits 32, Max shift 3
[1.130s][info ][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0
[1.130s][info ][gc,metaspace] Encoding Range: [0x0000000000000000 - 0x0000000100000000), (4294967296 bytes)
[1.130s][info ][gc,metaspace] Klass Range:    [0x00000000b3000000 - 0x00000000f3000000), (1073741824 bytes)
[1.130s][info ][gc,metaspace] Klass ID Range:  [3003121664 - 4076863481) (1073741817)
[1.130s][info ][gc,metaspace] No protection zone.
[1,145s][debug][gc,heap     ] Uncommitter (0) Timeout: 300000ms
[1,146s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x000072e47f400008) [0x000072e47f400100, 0x000072e47f400310] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.<init> (0x000072e47f405788) [0x000072e47f405880, 0x000072e47f407150] Compiler: c1, Barriers: 8, Oops: 1, ImmediateOops: 3, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.Set.of (0x000072e47f407188) [0x000072e47f407280, 0x000072e47f407368] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.AbstractCollection.<init> (0x000072e47f407488) [0x000072e47f407580, 0x000072e47f4076d8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.hashCodeOfUnsigned (0x000072e47f407788) [0x000072e47f407880, 0x000072e47f407af8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableCollection.<init> (0x000072e47f407b08) [0x000072e47f407c00, 0x000072e47f407db8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.System.arraycopy (0x000072e49ebe5488) [0x000072e49ebe5580, 0x000072e49ebe5700] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.Objects.hashCode (0x000072e47f407e08) [0x000072e47f407f00, 0x000072e47f408250] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$ListN.get (0x000072e47f408288) [0x000072e47f408380, 0x000072e47f408508] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.String.equals (0x000072e47f408588) [0x000072e47f408680, 0x000072e47f408d40] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.iterator (0x000072e47f408d88) [0x000072e47f408e80, 0x000072e47f409020] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.hasNext (0x000072e47f409088) [0x000072e47f409180, 0x000072e47f4092d0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableSet.<init> (0x000072e47f409388) [0x000072e47f409480, 0x000072e47f409698] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.<init> (0x000072e47f409708) [0x000072e47f409800, 0x000072e47f409ac0] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.<init> (0x000072e47f409b08) [0x000072e47f409c00, 0x000072e47f409f80] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.util.Objects.equals (0x000072e47f409f88) [0x000072e47f40a080, 0x000072e47f40a408] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.hashCode (0x000072e47f40a488) [0x000072e47f40a580, 0x000072e47f40ab98] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isLatin1 (0x000072e47f40ac08) [0x000072e47f40ad00, 0x000072e47f40ae60] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.String.coder (0x000072e47f40af08) [0x000072e47f40b000, 0x000072e47f40b128] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,153s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$1.newExports (0x000072e47f40b208) [0x000072e47f40b300, 0x000072e47f40b678] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: jdk.internal.module.Builder.newExports (0x000072e47f40b688) [0x000072e47f40b780, 0x000072e47f40b8c0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.lang.String.length (0x000072e47f40b988) [0x000072e47f40ba80, 0x000072e47f40be00] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.equals (0x000072e47f40be08) [0x000072e47f40bf00, 0x000072e47f40cd78] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.net.URI.hash (0x000072e47f40cd88) [0x000072e47f40ce80, 0x000072e47f40d440] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.util.Set.of (0x000072e47f40d488) [0x000072e47f40d580, 0x000072e47f40ddf0] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.charAt (0x000072e47f40de08) [0x000072e47f40df00, 0x000072e47f40e0c0] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.lang.String.charAt (0x000072e47f40e108) [0x000072e47f40e200, 0x000072e47f40e790] Compiler: c1, Barriers: 2, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.lang.String.checkIndex (0x000072e47f40e808) [0x000072e47f40e900, 0x000072e47f40ea28] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor.name (0x000072e49ebe5788) [0x000072e49ebe5880, 0x000072e49ebe5968] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleReference.descriptor (0x000072e49ebe5a88) [0x000072e49ebe5b80, 0x000072e49ebe5c68] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,154s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.Preconditions.checkIndex (0x000072e47f40eb08) [0x000072e47f40ec00, 0x000072e47f40ed88] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,155s][debug][gc,director ] Rule Major: Warmup 10%, Used: 8MB, UsedThreshold: 1228MB
[1,155s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.indexOfChar (0x000072e47f40ee08) [0x000072e47f40ef00, 0x000072e47f40f100] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.getClass (0x000072e49ebe5d88) [0x000072e49ebe5e80, 0x000072e49ebe61a0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.io.File.getPath (0x000072e49ebe6208) [0x000072e49ebe6300, 0x000072e49ebe63e8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getLong (0x000072e49ebe6508) [0x000072e49ebe6600, 0x000072e49ebe6768] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.lang.String.indexOf (0x000072e47f40f108) [0x000072e47f40f200, 0x000072e47f40f828] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,156s][debug][gc,nmethod  ] Register NMethod: java.lang.String.startsWith (0x000072e47f40f888) [0x000072e47f40f980, 0x000072e47f410c00] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: java.lang.String.startsWith (0x000072e47f410c08) [0x000072e47f410d00, 0x000072e47f410ff8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isEmpty (0x000072e47f411008) [0x000072e47f411100, 0x000072e47f411288] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.indexOf (0x000072e47f411308) [0x000072e47f411400, 0x000072e47f411888] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getInt (0x000072e49ebe6808) [0x000072e49ebe6900, 0x000072e49ebe6a68] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.mismatch (0x000072e47f411908) [0x000072e47f411a00, 0x000072e47f411de0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: java.io.File.getPrefixLength (0x000072e49ebe6b08) [0x000072e49ebe6c00, 0x000072e49ebe6cc0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,157s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getLongUnaligned (0x000072e47f411e08) [0x000072e47f411f00, 0x000072e47f4122b0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x000072e49ebe6e08) [0x000072e49ebe6f00, 0x000072e49ebe6f80] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.compareAndSetLong (0x000072e49ebe7108) [0x000072e49ebe7200, 0x000072e49ebe7370] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.compareAndSetReference (0x000072e49ebe7408) [0x000072e49ebe7500, 0x000072e49ebe7698] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,158s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getReferenceAcquire (0x000072e47f412308) [0x000072e47f412400, 0x000072e47f412530] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,159s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.spread (0x000072e47f412608) [0x000072e47f412700, 0x000072e47f4127f0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,159s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.tabAt (0x000072e47f412908) [0x000072e47f412a00, 0x000072e47f412f48] Compiler: c1, Barriers: 1, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,159s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.next (0x000072e47f412f88) [0x000072e47f413080, 0x000072e47f4133f8] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,159s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap$Node.<init> (0x000072e47f413408) [0x000072e47f413500, 0x000072e47f413750] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,159s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.addCount (0x000072e47f413788) [0x000072e47f413880, 0x000072e47f414520] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,160s][debug][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.putVal (0x000072e47f414588) [0x000072e47f414680, 0x000072e47f416b78] Compiler: c1, Barriers: 28, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,162s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x000072e49ebe7708) [0x000072e49ebe7820, 0x000072e49ebe7a18] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,163s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isLatin1 (0x000072e49ebe7a88) [0x000072e49ebe7b80, 0x000072e49ebe7c40] Compiler: jvmci, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,163s][debug][gc,nmethod  ] Register NMethod: java.lang.Math.min (0x000072e47f416b88) [0x000072e47f416c80, 0x000072e47f416da8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,163s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x000072e49ebe7d88) [0x000072e49ebe7e80, 0x000072e49ebe7f70] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,164s][debug][gc,nmethod  ] Register NMethod: java.lang.String.charAt (0x000072e49ebe8088) [0x000072e49ebe8180, 0x000072e49ebe82b0] Compiler: jvmci, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,165s][debug][gc,nmethod  ] Register NMethod: java.lang.String.hashCode (0x000072e49ebe8388) [0x000072e49ebe8480, 0x000072e49ebe8620] Compiler: jvmci, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,165s][debug][gc,director ] Rule Major: Warmup 10%, Used: 14MB, UsedThreshold: 1228MB
[1,165s][debug][gc,nmethod  ] Register NMethod: java.lang.Enum.ordinal (0x000072e49ebe8688) [0x000072e49ebe8780, 0x000072e49ebe8840] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,166s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.hashCode (0x000072e49ebe8988) [0x000072e49ebe8a80, 0x000072e49ebe8bf0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,166s][debug][gc,nmethod  ] Register NMethod: java.lang.Class.isPrimitive (0x000072e49ebe8c88) [0x000072e49ebe8d80, 0x000072e49ebe8e40] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,166s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x000072e49ebe8f88) [0x000072e49ebe9080, 0x000072e49ebe9170] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,166s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x000072e49ebe9288) [0x000072e49ebe9380, 0x000072e49ebe9470] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,167s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x000072e49ebe9588) [0x000072e49ebe9680, 0x000072e49ebe9918] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,167s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x000072e49ebe9988) [0x000072e49ebe9a80, 0x000072e49ebe9b78] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,170s][debug][gc,nmethod  ] Register NMethod: java.lang.Enum.<init> (0x000072e47f416e88) [0x000072e47f416f80, 0x000072e47f417158] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,171s][debug][gc,nmethod  ] Register NMethod: java.lang.String.hashCode (0x000072e47f417188) [0x000072e47f417280, 0x000072e47f417828] Compiler: c1, Barriers: 2, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,172s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.invokeBasic (0x000072e49ebe9c88) [0x000072e49ebe9d80, 0x000072e49ebea018] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,172s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToSpecial (0x000072e49ebea088) [0x000072e49ebea180, 0x000072e49ebea278] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,172s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.StrongReferenceKey.get (0x000072e49ebea388) [0x000072e49ebea480, 0x000072e49ebea568] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,173s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x000072e49ebea688) [0x000072e49ebea780, 0x000072e49ebea878] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,173s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.clone (0x000072e49ebea988) [0x000072e49ebeaa80, 0x000072e49ebeada0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,173s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x000072e49ebeae08) [0x000072e49ebeaf00, 0x000072e49ebeaff0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,173s][debug][gc,nmethod  ] Register NMethod: java.lang.Class.getClassLoader (0x000072e49ebeb108) [0x000072e49ebeb200, 0x000072e49ebeb2e8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,173s][debug][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodType.returnType (0x000072e49ebeb408) [0x000072e49ebeb500, 0x000072e49ebeb5e8] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
